"payload_size","most_used_MCS","effective_latency"
27500,0,33.026
27550,0,33.074
27600,0,33.122
27650,0,33.186
27700,0,33.234
27750,0,33.298
27800,0,33.346
27850,0,33.41
27900,0,33.458
27950,0,33.506
28000,0,33.57
28050,0,33.618
28100,0,33.682
28150,0,33.73
28200,0,33.778
28250,0,33.842
28300,0,33.89
28350,0,33.954
28400,0,34.002
28450,0,34.066
28500,0,34.114
28550,0,34.162
28600,0,34.226
28650,0,34.274
28700,0,34.338
28750,0,34.386
28800,0,34.434
28850,0,34.498
28900,0,34.546
28950,0,34.61
29000,0,34.658
29050,0,34.722
29100,0,34.77
29150,0,-17
29200,0,-17
29250,0,-17
29300,0,-17
29350,0,-17
29400,0,-17
29450,0,-17
29500,0,-17
29550,0,-17
29600,0,-17
29650,0,-17
29700,0,-17
29750,0,-17
29800,0,-17
29850,0,-17
29900,0,-17
29950,0,-17
30000,0,-17
30050,0,-17
30100,0,-17
30150,0,-17
30200,0,-17
30250,0,-17
30300,0,-17
30350,0,-17
30400,0,-17
30450,0,-17
30500,0,-17
30550,0,-17
30600,0,-17
30650,0,-17
30700,0,-17
30750,0,-17
30800,0,-17
30850,0,-17
30900,0,-17
30950,0,-17
31000,0,-17
31050,0,-17
31100,0,-17
31150,0,-17
31200,0,-17
31250,0,-17
31300,0,-17
31350,0,-17
31400,0,-17
31450,0,-17
31500,0,-17
31550,0,-17
31600,0,-17
31650,0,-17
31700,0,-17
31750,0,-17
31800,0,-17
31850,0,-17
31900,0,-17
31950,0,-17
32000,0,-17
32050,0,-17
32100,0,-17
32150,0,-17
32200,0,-17
32250,0,-17
32300,0,-17
32350,0,-17
32400,0,-17
32450,0,-17
32500,0,-17
32550,0,-17
32600,0,-17
32650,0,-17
32700,0,-17
32750,0,-17
32800,0,-17
32850,0,-17
32900,0,-17
32950,0,-17
33000,0,-17
33050,0,-17
33100,0,-17
33150,0,-17
33200,0,-17
33250,0,-17
33300,0,-17
33350,0,-17
33400,0,-17
33450,0,-17
33500,0,-17
33550,0,-17
33600,0,-17
33650,0,-17
33700,0,-17
33750,0,-17
33800,0,-17
33850,0,-17
33900,0,-17
33950,0,-17
34000,0,-17
34050,0,-17
34100,0,-17
34150,0,-17
34200,0,-17
34250,0,-17
34300,0,-17
34350,0,-17
34400,0,-17
34450,0,-17
34500,0,-17
34550,0,-17
34600,0,-17
34650,0,-17
34700,0,-17
34750,0,-17
34800,0,-17
34850,0,-17
34900,0,-17
34950,0,-17
35000,0,-17
35050,0,-17
35100,0,-17
35150,0,-17
35200,0,-17
35250,0,-17
35300,0,-17
35350,0,-17
35400,0,-17
35450,0,-17
35500,0,-17
35550,0,-17
35600,0,-17
35650,0,-17
35700,0,-17
35750,0,-17
35800,0,-17
35850,0,-17
35900,0,-17
35950,0,-17
36000,0,-17
36050,0,-17
36100,0,-17
36150,0,-17
36200,0,-17
36250,0,-17
36300,0,-17
36350,0,-17
36400,0,-17
36450,0,-17
36500,0,-17
36550,0,-17
36600,0,-17
36650,0,-17
36700,0,-17
36750,0,-17
36800,0,-17
36850,0,-17
36900,0,-17
36950,0,-17
37000,0,-17
37050,0,-17
37100,0,-17
37150,0,-17
37200,0,-17
37250,0,-17
37300,0,-17
37350,0,-17
37400,0,-17
37450,0,-17
37500,0,-17
37550,0,-17
37600,0,-17
37650,0,-17
37700,0,-17
37750,0,-17
37800,0,-17
37850,0,-17
37900,0,-17
37950,0,-17
38000,0,-17
38050,0,-17
38100,0,-17
38150,0,-17
38200,0,-17
38250,0,-17
38300,0,-17
38350,0,-17
38400,0,-17
38450,0,-17
38500,0,-17
38550,0,-17
38600,0,-17
38650,0,-17
38700,0,-17
38750,0,-17
38800,0,-17
38850,0,-17
38900,0,-17
38950,0,-17
39000,0,-17
39050,0,-17
39100,0,-17
39150,0,-17
39200,0,-17
39250,0,-17
39300,0,-17
39350,0,-17
39400,0,-17
39450,0,-17
39500,0,-17
39550,0,-17
39600,0,-17
39650,0,-17
39700,0,-17
39750,0,-17
39800,0,-17
39850,0,-17
39900,0,-17
39950,0,-17
40000,0,-17
