"payload_size","most_used_MCS","effective_latency"
9250,0,12.562
9300,0,12.61
9350,0,12.953
9400,0,13.017
9450,0,13.065
9500,0,13.129
9550,0,13.177
9600,0,13.225
9650,0,13.289
9700,0,13.337
9750,0,13.401
9800,0,13.449
9850,0,13.513
9900,0,13.561
9950,0,13.609
10000,0,13.673
10050,0,13.721
10100,0,13.785
10150,0,13.833
10200,0,13.897
10250,0,13.945
10300,0,13.993
10350,0,14.057
10400,0,14.105
10450,0,14.169
10500,0,14.217
10550,0,14.265
10600,0,14.329
10650,0,14.377
10700,0,14.441
10750,0,14.489
10800,0,14.553
10850,0,14.601
10900,0,14.649
10950,0,14.713
11000,0,14.761
11050,0,14.825
11100,0,14.873
11150,0,14.921
11200,0,14.985
11250,0,15.033
11300,0,15.097
11350,0,15.145
11400,0,15.273
11450,0,15.321
11500,0,15.385
11550,0,15.433
11600,0,15.497
11650,0,15.545
11700,0,15.593
11750,0,15.657
11800,0,15.705
11850,0,15.769
11900,0,15.817
11950,0,15.881
12000,0,15.929
12050,0,15.977
12100,0,16.041
12150,0,16.089
12200,0,16.153
12250,0,16.201
12300,0,16.249
12350,0,16.313
12400,0,16.361
12450,0,16.425
12500,0,16.473
12550,0,16.537
12600,0,16.585
12650,0,16.633
12700,0,16.697
12750,0,16.745
12800,0,16.809
12850,0,16.857
12900,0,16.905
12950,0,16.969
13000,0,17.017
13050,0,17.081
13100,0,17.129
13150,0,17.193
13200,0,17.241
13250,0,17.289
13300,0,17.353
13350,0,17.401
13400,0,17.465
13450,0,17.513
13500,0,17.577
13550,0,17.625
13600,0,17.673
13650,0,17.801
13700,0,17.865
13750,0,17.913
13800,0,17.961
13850,0,18.241
13900,0,18.305
13950,0,18.353
14000,0,18.417
14050,0,18.465
14100,0,18.513
14150,0,18.577
14200,0,18.625
14250,0,18.689
14300,0,18.683
14350,0,18.801
14400,0,18.849
14450,0,18.897
14500,0,18.961
14550,0,19.009
14600,0,19.073
14650,0,19.121
14700,0,19.169
14750,0,19.233
14800,0,19.281
14850,0,19.345
14900,0,19.393
14950,0,19.457
15000,0,19.505
15050,0,19.553
15100,0,19.617
15150,0,19.665
15200,0,19.729
15250,0,19.777
15300,0,19.841
15350,0,19.889
15400,0,19.937
15450,0,20.001
15500,0,20.049
15550,0,20.059
15600,0,20.161
15650,0,20.209
15700,0,20.273
15750,0,20.321
15800,0,20.385
15850,0,20.433
15900,0,20.561
15950,0,20.609
16000,0,20.673
16050,0,20.721
16100,0,20.785
16150,0,20.833
16200,0,20.881
16250,0,20.945
16300,0,20.993
16350,0,21.057
16400,0,21.105
16450,0,21.169
16500,0,21.217
16550,0,21.265
16600,0,21.329
16650,0,21.377
16700,0,21.441
16750,0,21.489
16800,0,21.537
16850,0,21.601
16900,0,21.649
16950,0,21.713
17000,0,21.761
17050,0,21.825
17100,0,21.873
17150,0,21.921
17200,0,21.985
17250,0,22.033
17300,0,22.097
17350,0,22.145
17400,0,22.193
17450,0,22.257
17500,0,22.305
17550,0,22.369
17600,0,22.417
17650,0,22.481
17700,0,22.529
17750,0,22.577
17800,0,22.641
17850,0,22.689
17900,0,22.753
17950,0,22.801
18000,0,22.865
18050,0,22.913
18100,0,22.961
18150,0,23.025
18200,0,23.153
18250,0,23.201
18300,0,23.249
18350,0,23.313
18400,0,23.62
18450,0,23.668
18500,0,23.732
18550,0,23.78
18600,0,23.828
18650,0,23.892
18700,0,23.94
18750,0,24.004
18800,0,24.052
18850,0,24.116
18900,0,24.164
18950,0,24.212
19000,0,24.276
19050,0,24.324
19100,0,24.388
19150,0,24.436
19200,0,24.484
19250,0,24.548
19300,0,24.596
19350,0,24.66
19400,0,24.708
19450,0,24.772
19500,0,24.82
19550,0,24.868
19600,0,24.932
19650,0,24.98
19700,0,25.044
19750,0,25.092
19800,0,25.156
19850,0,25.204
19900,0,25.252
19950,0,25.316
20000,0,25.364
20050,0,25.428
20100,0,25.476
20150,0,25.524
20200,0,25.588
20250,0,25.636
20300,0,25.7
20350,0,25.748
20400,0,25.812
20450,0,25.924
20500,0,25.988
20550,0,26.036
20600,0,26.1
20650,0,26.148
20700,0,26.196
20750,0,26.26
20800,0,26.308
20850,0,26.372
20900,0,26.42
20950,0,26.484
21000,0,26.532
21050,0,26.58
21100,0,26.644
21150,0,26.692
21200,0,26.756
21250,0,26.804
21300,0,26.852
21350,0,26.916
21400,0,26.964
21450,0,27.028
21500,0,27.076
21550,0,27.14
21600,0,27.188
21650,0,27.236
21700,0,27.3
21750,0,27.348
21800,0,27.412
21850,0,27.46
21900,0,27.508
21950,0,27.572
22000,0,27.62
22050,0,27.684
22100,0,27.732
22150,0,27.796
22200,0,27.844
22250,0,27.892
22300,0,27.956
22350,0,28.004
22400,0,28.068
22450,0,28.116
22500,0,28.18
22550,0,28.228
22600,0,28.276
22650,0,28.34
22700,0,28.388
22750,0,28.516
22800,0,28.564
22850,0,28.628
22900,0,28.676
22950,0,29.046
23000,0,29.11
23050,0,29.158
23100,0,29.206
23150,0,29.27
23200,0,29.318
23250,0,29.382
23300,0,29.43
23350,0,29.494
23400,0,29.542
23450,0,29.59
23500,0,29.654
23550,0,29.702
23600,0,29.766
23650,0,29.814
23700,0,29.862
23750,0,29.926
23800,0,29.974
23850,0,30.038
23900,0,30.086
